episode_hash,n_frames,duration_s,nan_left_ee,nan_right_ee,nan_head,nan_left_kp,nan_right_kp,nan_max,frozen_frac_left_ee,frozen_run_left_ee,frozen_frac_right_ee,frozen_run_right_ee,frozen_frac_head,frozen_run_head,frozen_frac_max,frozen_run_max_s,path_len_left,speed_mean_left,net_disp_left,path_len_right,speed_mean_right,net_disp_right,motion_energy,path_len_total,has_annotations,f_duration_s,f_log_duration,f_left_path,f_left_speed_mean,f_left_speed_std,f_left_speed_p90,f_left_acc_std,f_left_ext_x,f_left_ext_y,f_left_ext_z,f_left_bbox_vol,f_left_centroid_x,f_left_centroid_y,f_left_centroid_z,f_left_active_frac,f_right_path,f_right_speed_mean,f_right_speed_std,f_right_speed_p90,f_right_acc_std,f_right_ext_x,f_right_ext_y,f_right_ext_z,f_right_bbox_vol,f_right_centroid_x,f_right_centroid_y,f_right_centroid_z,f_right_active_frac,f_bimanual_speed_corr,f_hand_dist_mean,f_hand_dist_std,f_hand_dist_min,f_left_aperture_mean,f_left_aperture_std,f_left_aperture_range,f_right_aperture_mean,f_right_aperture_std,f_right_aperture_range,f_head_path,f_head_ext,f_head_rot_energy,lab,operator,scene,num_frames,task_description,objects,rule_tracking_dropout,rule_frozen_tracker,rule_too_short,rule_no_motion,rule_runaway_length,rule_suspiciously_short,drop_reason,keep
2025-09-20-20-23-06-000000,2607.0,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.208500963112016,0.3707809013405067,0.4682971900058603,56.98896308171342,0.6560509948009988,0.5003700620250258,0.5134159480707527,89.19746404482544,0.0,86.9,4.476199804691132,32.208500963112016,0.3707809013405067,1.0174301729481068,0.7571657876261382,42.58504463576542,0.42550740391016,0.3353860229253769,0.8234232673421502,0.1175101053233965,-0.0805222459959447,-0.2677508579766414,-0.6322938266582144,0.9750575594781274,56.98896308171342,0.6560509948009988,1.1988464940250336,1.5900400043729008,53.5311852321677,0.4470689687877893,0.5064371190965176,0.9813843742012978,0.2221975135540134,-0.2201678551537726,0.019607995687104,-0.6391356222514029,0.9834996162701458,0.8999372541048224,0.3263510601065634,0.0853411564202827,0.1115592656902331,0.1056000384752097,0.0038050120384598,0.0268680305677831,0.1027409396971651,0.0052094356103402,0.0304455564279384,9.973047493401662,0.4841788039725622,0.2307717086552378,rl2,7UD-MlQsDB8PB3X-,6,2607.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-20-27-23-000000,2050.0,68.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.79376165346375,0.5240667884840958,0.3622426203366019,51.003433341266586,0.7467559786422633,0.3100515298757129,0.6354113835631796,86.79719499473033,0.0,68.33333333333333,4.238925791033208,35.79376165346375,0.5240667884840958,1.067377419619004,1.232333948618007,45.74356192633071,0.467305164784193,0.422126330435276,0.9056288618594408,0.1786459924668447,-0.0659889036921284,-0.3372407218586744,-0.6312877258249536,0.99170326988775,51.003433341266586,0.7467559786422633,1.2556769796625054,1.8198586607252107,56.243981241841006,0.6884057149291039,0.5605417303740978,1.0558508560061457,0.4074318662581077,-0.2858602779631207,0.0605426698093296,-0.6254328049340842,0.9970717423133236,0.8956126705232978,0.4581059325216418,0.1419604012784613,0.1186810134988215,0.1053219806714984,0.0052145454274241,0.032717082956101,0.1036440712346468,0.006078783297649,0.0253345894126906,12.741279298618991,0.6842682222483788,0.2822813638441748,rl2,7UD-MlQsDB8PB3X-,6,2050.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-20-55-13-000000,2329.0,77.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.99116630888446,0.5668964730526348,0.3152724807380192,47.79306667507595,0.6158900344726281,0.578689399400269,0.5913932537626315,91.7842329839604,0.0,77.63333333333334,4.36479569774552,43.99116630888446,0.5668964730526348,1.001324347860616,1.4049974415611064,42.67215555832242,0.4527253285050392,0.5453212168067694,1.0465712621808052,0.2583782740850305,0.0275877561302637,-0.2832459305665392,-0.6888436191888149,0.9965635738831616,47.79306667507595,0.6158900344726281,0.9484956831449792,1.5453874939317025,41.374234752465725,0.5191409308463335,0.4449128583073616,1.095536686480045,0.2530388203756829,-0.2205943943242458,-0.0561376279194242,-0.6884576179736569,0.9974226804123713,0.8592828057955021,0.3431044431375945,0.1077826346993903,0.0838780056522707,0.106624314492843,0.0054979108237096,0.0268464372189587,0.1063457852528809,0.0047168864700152,0.0235375542863024,11.484692336181036,0.6691780543492112,0.1545029479750956,rl2,7UD-MlQsDB8PB3X-,7,2329.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-20-59-45-000000,2435.0,81.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.10644671598951,0.3340975355298625,0.2000759983603844,49.47526171161997,0.6098019109895642,0.1384436509011493,0.4719497232597133,76.58170842760948,0.0,81.16666666666667,4.408749704814635,27.10644671598951,0.3340975355298625,0.6188712722560065,0.6685981830891103,24.750526580060576,0.3473165147006511,0.3577439077198505,0.6984778009355068,0.0867861232365635,0.1635017523499974,-0.2939729234054531,-0.7291336002222261,0.9950698438783896,49.47526171161997,0.6098019109895642,0.7738997272824409,1.593280513474097,34.618385351635844,0.463101839646697,0.5914172800257802,0.824101353995502,0.2257101781161511,-0.1505625981105074,-0.2002439530154697,-0.7381570253995471,0.994658997534922,0.7536928125721833,0.3426933617176507,0.121006203698986,0.1164734330213154,0.1035291618780329,0.0043363629331417,0.021682656042641,0.1024851682521394,0.0054997200629267,0.0288213453372983,10.002679364197942,0.5461508150721742,0.1298848131110158,rl2,7UD-MlQsDB8PB3X-,7,2435.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-21-23-13-000000,2089.0,69.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2215095381944,0.6353665163533677,0.2026187276931985,50.13444604329584,0.7203225006220666,0.2308536155045443,0.6778445084877172,94.35595558149024,0.0,69.63333333333334,4.257502176606144,44.2215095381944,0.6353665163533677,1.4444389466957988,1.6338445780240225,58.4634699968888,0.282705720514059,0.3025242444127798,1.0378085356205702,0.0887589221452007,0.0830953264633053,-0.2159252684561615,-0.7643606084998389,0.988984674329502,50.13444604329584,0.7203225006220666,1.4223031236094767,1.6619956186192026,58.77402861431013,0.3890261799097061,0.2981102000921964,1.0775325074791908,0.1249643244191017,-0.163319724564235,-0.0845328595445461,-0.7381748439612151,0.9913793103448276,0.9541409690035632,0.2832704598694907,0.0596371309901944,0.1320937882056872,0.1048685405680759,0.0041496684968052,0.0348000182858283,0.1035500925596727,0.0043267054247735,0.0354521636762437,11.490337021311582,0.5741437337441686,0.300031161868826,rl2,7UD-MlQsDB8PB3X-,8,2089.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-21-27-15-000000,2294.0,76.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.053761253961966,0.5109519570950104,0.1893138621326507,52.08666147069442,0.6814652612825263,0.1784614670173831,0.5962086091887683,91.1404227246564,0.0,76.46666666666667,4.349847736309647,39.053761253961966,0.5109519570950104,0.9103476036925876,1.276769545556818,37.07838492411118,0.2832742109894752,0.4199393857270479,0.8958590338006616,0.1065695972902091,-0.3160412648064267,0.0688100842201143,-0.7569754510527638,0.9973833406018316,52.08666147069442,0.6814652612825263,0.9629323874962008,1.8032929068182384,41.66285944988206,0.4469007812440395,0.5597894531674683,0.9091766849160194,0.22744904397923,0.0961409657580555,0.2713422314865748,-0.7282392298842316,0.9982555604012212,0.8761029851774449,0.464308942041789,0.13438479360679,0.1306964448702979,0.1034604962828376,0.0037992491098265,0.0282594559462797,0.1020686339386781,0.005515245435955,0.0283102817602963,12.586114138269382,0.5969458557310425,0.1788755779478108,rl2,7UD-MlQsDB8PB3X-,8,2294.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-21-20-44-10-000000,3255.0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.419746373064335,0.4187438202802488,0.8026715556684337,46.10718742724595,0.4250816296304174,0.7765288557506372,0.4219127249553332,91.52693380031027,0.0,108.5,4.695924549256556,45.419746373064335,0.4187438202802488,0.8317445833195589,0.8493597767757144,35.857441638658884,0.7264297381043434,0.4242139244452119,0.8689844980835915,0.2677876620248533,-0.0620568597045499,-0.2575995412734573,-0.7026640646874951,0.9935464044253228,46.10718742724595,0.4250816296304174,0.8994240223870135,0.9549760888582816,38.88129328263035,0.5344453603029251,0.5904096849262714,0.7808484397828579,0.2463902572393441,-0.2073478348979142,0.0294048525203364,-0.7548659274294491,0.9935464044253228,0.6590041387215009,0.358698632711972,0.102195364740796,0.1461796143447012,0.0962028409883512,0.0053776077836228,0.0294172387276627,0.0947909378494331,0.0051773688978005,0.0267406426867479,11.771095587633852,0.5123976972608676,0.1113089113474802,rl2,7UD-MlQsDB8PB3X-,1,3255.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-21-20-50-33-000000,2730.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.16129260077879,0.4414946053585064,0.7788083173441857,41.862302805285594,0.4601938747374743,0.75932665661141,0.4508442400479903,82.02359540606439,0.0,91.0,4.5217885770490405,40.16129260077879,0.4414946053585064,0.8366540830368281,1.0052799540386526,35.49398057881859,0.6941390968859196,0.3520920276641845,0.8615467734634876,0.2105627569460721,-0.096377876501585,-0.3329111626978977,-0.6878384827728291,0.9959692194943204,41.862302805285594,0.4601938747374743,0.9930785230424108,0.9634418948838632,42.55747927626804,0.5858839545398951,0.5418045707046986,0.879551999270916,0.2792002410013478,-0.2317135151066295,0.0923253636249646,-0.7369616464940292,0.9941370465371931,0.7725621062121377,0.4611314492009814,0.108200408139959,0.1499711190282378,0.1007153957144318,0.005700223813789,0.0292140319743563,0.0969301366179225,0.0065936817439284,0.0313469918184314,10.225651820625975,0.5113155665141917,0.1366200088402975,rl2,7UD-MlQsDB8PB3X-,1,2730.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-21-20-56-12-000000,2504.0,83.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.74154421357954,0.5242694072742253,0.1092939372642156,45.35855119227642,0.5436502340264852,0.0512074041810417,0.5339598206503553,89.10009540585597,0.0,83.46666666666667,4.436356979218929,43.74154421357954,0.5242694072742253,0.870998641987965,1.2832120972649803,36.517964087476834,0.532430861145258,0.3681229967623949,0.8301062881946564,0.1627008691549149,-0.0561365237992893,-0.2725159006041531,-0.6642722786179545,0.9972033559728326,45.35855119227642,0.5436502340264852,1.0967300311898092,1.1220422526906584,46.85604527003359,0.5075254924595356,0.4306239448487758,0.7610737066715956,0.1663346599690005,-0.1991189076354505,-0.0285043224387114,-0.7327584186219238,0.9984019176987616,0.6013852045870617,0.3097261408081964,0.0829015041925039,0.1766516189927678,0.1049071959309954,0.0070602418066847,0.0259382824183334,0.1019160933409782,0.0065184967179334,0.0299811414049364,11.678711441788645,0.4658135679715292,0.1515265907556695,rl2,7UD-MlQsDB8PB3X-,2,2504.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-21-21-01-12-000000,3528.0,117.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.88234935729621,0.4157840886642717,0.3117446664190506,54.383191804605346,0.4625732220408732,0.2575096842359731,0.4391786553525725,103.26554116190157,0.0,117.6,4.775756486563625,48.88234935729621,0.4157840886642717,0.8648694434830042,0.8929985445800863,37.09554717800447,0.6625702790915966,0.5012701759114861,0.7588953394442797,0.2520494201815392,-0.0748514940438458,-0.3362525625565129,-0.6669114623752015,0.9948965126169548,54.383191804605346,0.4625732220408732,0.9652266113378112,0.920546276608152,41.74566600311338,0.6383022833615541,0.6567282378673553,0.7806721674278378,0.3272508509735838,-0.2874734288783896,0.0244730179002542,-0.6897878399656773,0.9954635667706266,0.8902532943626511,0.430864162205314,0.094733342334721,0.0100952732506125,0.1032256279823261,0.008282897610421,0.0314188695263994,0.0994341307202008,0.0078107681209183,0.0309379119319658,17.550814647306634,0.6770585395571762,0.1501002693721138,rl2,7UD-MlQsDB8PB3X-,2,3528.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
