n_frames,duration_s,nan_left_ee,nan_right_ee,nan_head,nan_left_kp,nan_right_kp,nan_max,frozen_frac_left_ee,frozen_run_left_ee,frozen_frac_right_ee,frozen_run_right_ee,frozen_frac_head,frozen_run_head,frozen_frac_max,frozen_run_max_s,offaxis_deg_left,offaxis_left,offaxis_deg_right,offaxis_right,offaxis_max,offaxis_deg_max,path_len_left,speed_mean_left,net_disp_left,path_len_right,speed_mean_right,net_disp_right,hand_speed_max,hand_jitter_frac,head_speed_max,motion_energy,path_len_total,has_annotations,episode_hash,lab,rig,n_arrays,rule_tracking_dropout,rule_frozen_tracker,rule_too_short,rule_no_motion,rule_runaway_length,rule_suspiciously_short,drop_rig_independent
3578.0,119.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74633296301367,0.043040804918949134,15.448246020455912,0.0005589714924538849,0.043040804918949134,20.74633296301367,57.97231478220249,0.48620895819571563,0.2707118605144709,44.9238273790377,0.376772385063218,0.3932224134971281,10.02865959860652,0.0001397819401733296,4.506950898110757,0.4314906716294668,102.89614216124019,0.0,2025-09-22-03-09-27-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
3659.0,121.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.402922662084062,0.03634872916097295,14.994494354581727,0.0,0.03634872916097295,19.402922662084062,54.45099761288533,0.4465636764315364,0.5882648822110372,46.88653203221378,0.3845259598049243,0.16760775058926444,18.872650641157882,0.0002733734281027884,4.558854596430112,0.41554481811823035,101.33752964509911,0.0,2025-09-22-03-13-58-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2684.0,89.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.835169920294696,0.0033532041728763042,25.951900768389862,0.0033532041728763042,0.0033532041728763042,27.835169920294696,31.13315326035505,0.34811576511764875,0.9279796964262094,36.38345432496567,0.40682207594072683,0.5929645366050637,22.93258883373674,0.0016772269847185985,6.023717307810572,0.3774689205291878,67.51660758532071,0.0,2025-09-22-19-42-55-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
3892.0,129.73333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.285053528680677,0.0033401849948612537,22.297458105329945,0.0033401849948612537,0.0033401849948612537,24.285053528680677,41.578178145646575,0.3205719209379073,0.24786650299544033,54.890586277727245,0.42321192195626245,0.20428821394139823,22.867482748866824,0.0021845283988691853,7.703940743395303,0.3718919214470849,96.46876442337381,0.0,2025-09-22-19-49-07-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2193.0,73.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.971814227413194,0.0,15.185018831523715,0.0,0.0,19.971814227413194,30.43299817708011,0.41651001154762923,0.34118827607276564,32.431541340610096,0.44386233586601404,0.27642030633285924,9.783925374549009,0.0,4.54319687587014,0.43018617370682166,62.864539517690204,0.0,2025-09-22-20-11-49-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2700.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.61295664170625,0.0007407407407407407,19.979222859041094,0.0,0.0007407407407407407,26.61295664170625,32.187275199747155,0.3577688981076009,0.38310684521931726,38.13072747864889,0.42383172447553424,0.23266339264521027,10.322147005386281,0.0001852537977028529,3.4166245056537945,0.3908003112915676,70.31800267839606,0.0,2025-09-22-20-17-09-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
3317.0,110.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.56436111884415,0.0208019294543262,31.107564998634842,0.07416340066324993,0.07416340066324993,34.56436111884415,35.065239181171236,0.3172367839068568,0.15078427629182803,54.87079293360772,0.49641851266834486,0.17637894624080924,18.140168251799107,0.0009047044632086852,11.278305918619145,0.40682764828760076,89.93603211477895,0.0,2025-09-22-20-23-21-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2398.0,79.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.45255125963047,0.041701417848206836,26.999400276151704,0.007506255212677231,0.041701417848206836,31.45255125963047,34.08301951717571,0.4265709576617735,0.18413833132078647,40.436628934266295,0.5060904747717935,0.17300136349217385,23.51854190970153,0.002920317062995411,4.448356623553659,0.46633071621678346,74.51964845144201,0.0,2025-09-22-20-27-48-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2717.0,90.56666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.338536385956786,0.015090172984909826,19.119010095164665,0.013986013986013986,0.015090172984909826,24.338536385956786,36.089643141785025,0.39863376077082124,0.2406579554689827,43.07560184611298,0.4757982530866676,0.23192839535138035,24.894615786666694,0.0066273932253313695,4.997502935357678,0.4372160069287445,79.165244987898,0.0,2025-09-22-20-35-24-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
4900.0,163.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.90067593620266,0.019591836734693877,20.79151101183313,0.019387755102040816,0.019591836734693877,26.90067593620266,58.06751408704346,0.3555879613413562,0.7209183596198512,79.71201409818575,0.4881323582252648,0.7305271123099635,21.962874346687535,0.0044907123902837316,4.810745245714734,0.4218601597833105,137.7795281852292,0.0,2025-09-22-20-41-18-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2718.0,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53292753668831,0.02612214863870493,15.45810010017857,0.0235467255334805,0.02612214863870493,20.53292753668831,40.61042336051383,0.44840364402481225,0.24638506319655193,44.90614366618972,0.49583522634732863,0.32098550747555576,23.638847855095147,0.004600662495399337,7.373098353234511,0.4721194351860704,85.51656702670354,0.0,2025-09-22-20-47-49-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2689.0,89.63333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.682244339839336,0.03681666046857568,21.529201337104148,0.03681666046857568,0.03681666046857568,23.682244339839336,50.03355345501136,0.5584101948103947,0.7028382657441737,55.92749623261362,0.6241908061675627,0.7374960096585078,23.951404688360373,0.00818452380952381,6.740585227286399,0.5913005004889788,105.96104968762498,0.0,2025-09-22-21-00-06-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
3020.0,100.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.907848717647635,0.030132450331125826,21.79980629092248,0.031125827814569535,0.031125827814569535,21.79980629092248,41.729625821363015,0.41467001478664806,0.8232882925230773,52.353054211391125,0.5202357159131281,0.8185232240156662,21.919686479466005,0.004968532626697582,7.401538219135893,0.467452865349888,94.08268003275414,0.0,2025-09-22-21-04-21-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2139.0,71.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.49571033360133,0.08274894810659186,27.752219079229167,0.011220196353436185,0.08274894810659186,33.49571033360133,38.98643087244053,0.5470500122419157,0.15114085604504587,42.74869485577559,0.5998413684159344,0.21209189599809347,20.757476229837525,0.005612722170252572,9.78821083759885,0.5734456903289251,81.73512572821612,0.0,2025-09-23-19-20-34-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2585.0,86.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.62643634260423,0.0023210831721470018,26.808614082650394,0.0011605415860735009,0.0023210831721470018,28.62643634260423,20.353074008426354,0.2362972988594391,0.19268573376684364,36.449069459534115,0.42317031106270264,0.44683261750991965,16.61188635791121,0.0003869969040247678,6.540365819429391,0.32973380496107085,56.80214346796047,0.0,2025-09-23-19-25-08-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2277.0,75.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.798385385196365,0.007905138339920948,24.50981302806327,0.010979358805445762,0.010979358805445762,24.50981302806327,31.951811564647137,0.4211574459312013,0.3086156007716081,40.64581664083468,0.5357532949143411,0.3798428455439097,23.040460399968435,0.0041739894551845345,9.080342603234667,0.47845537042277125,72.59762820548181,0.0,2025-09-23-19-32-44-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
2055.0,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.66907718646717,0.029197080291970802,24.39418177945827,0.014598540145985401,0.029197080291970802,32.66907718646717,40.56916480829919,0.5925389212507186,0.3200422144491303,40.211273578068614,0.5873116880925309,0.37614665034957995,23.357791378236172,0.005111976630963973,10.943301841016332,0.5899253046716246,80.7804383863678,0.0,2025-09-23-19-37-29-000000,rl2,aria_gen1,9,False,False,False,False,False,False,False
