seed,k_frac,k,condition,n_train_eps,n_train_win,mse_unseen_operator,mse_unseen_scene,n_groups,fit_s
3,0.5,137,random,137,26325,0.10750913619995117,0.09262042492628098,73,0.29760098457336426
3,0.5,137,curated,137,26138,0.10493196547031403,0.09037664532661438,78,0.31056904792785645
3,0.5,137,dpp,137,26352,0.10566011071205139,0.08863865584135056,75,0.29595494270324707
3,0.5,137,kcenter,137,26279,0.10606823116540909,0.088795967400074,77,0.34519505500793457
3,0.5,137,degenerate,137,25712,0.10999948531389236,0.092936210334301,27,0.2819349765777588
3,0.5,137,random_nogate,137,25944,0.10874990373849869,0.08938699215650558,-1,0.0
3,1.0,274,all_gated,274,52693,0.1039167270064354,0.08686935156583786,95,0.0
4,0.25,69,random,69,13113,0.12444017827510834,0.10224463045597076,47,0.25758886337280273
4,0.25,69,curated,69,13753,0.11848979443311691,0.09939316660165787,45,0.2604231834411621
4,0.25,69,dpp,69,14823,0.11604224145412445,0.09795592725276947,51,0.25052809715270996
4,0.25,69,kcenter,69,14082,0.1158788874745369,0.09693930298089981,49,0.25038695335388184
4,0.25,69,degenerate,69,12754,0.14667922258377075,0.11595439165830612,7,0.2320539951324463
4,0.25,69,random_nogate,69,12732,0.11598724871873856,0.09838147461414337,-1,0.0
4,0.5,138,random,138,26781,0.10887705534696579,0.09413018077611923,69,0.38213014602661133
4,0.5,138,curated,138,27826,0.10711053758859634,0.09276270866394043,76,0.3520348072052002
4,0.5,138,dpp,138,28186,0.10565149784088135,0.0925561860203743,74,0.37490415573120117
4,0.5,138,kcenter,138,27880,0.10606709867715836,0.09262088686227798,78,0.33080506324768066
4,0.5,138,degenerate,138,23947,0.11192848533391953,0.09703508019447327,24,0.36463403701782227
4,0.5,138,random_nogate,138,26340,0.11092828959226608,0.09389098733663559,-1,0.0
4,1.0,277,all_gated,277,53236,0.10384545475244522,0.09101928025484085,90,0.0
5,0.25,65,random,65,12175,0.11936713010072708,0.10405495762825012,46,0.2369527816772461
5,0.25,65,curated,65,12908,0.11940785497426987,0.10190553963184357,48,0.34194111824035645
5,0.25,65,dpp,65,13562,0.11413855850696564,0.09805572777986526,48,0.276900053024292
5,0.25,65,kcenter,65,12791,0.11585350334644318,0.09900688380002975,48,0.3201892375946045
5,0.25,65,degenerate,65,11049,0.1397518664598465,0.11800934374332428,12,0.2317512035369873
5,0.25,65,random_nogate,65,12367,0.11522869020700455,0.10151376575231552,-1,0.0
5,0.5,130,random,130,24604,0.11153343319892883,0.09490624815225601,68,0.32834911346435547
5,0.5,130,curated,130,25130,0.11032529920339584,0.09517401456832886,77,0.26827216148376465
5,0.5,130,dpp,130,26181,0.1077021062374115,0.09351573884487152,77,0.4506852626800537
5,0.5,130,kcenter,130,25647,0.10821963846683502,0.09381923079490662,78,0.29802584648132324
5,0.5,130,degenerate,130,22283,0.11503102630376816,0.09847217798233032,29,0.27477002143859863
5,0.5,130,random_nogate,130,24267,0.11343646049499512,0.09611640125513077,-1,0.0
5,1.0,260,all_gated,260,50156,0.10650140792131424,0.09191373735666275,90,0.0
6,0.25,80,random,80,15404,0.11890898644924164,0.10324568301439285,60,0.2540171146392822
6,0.25,80,curated,80,16363,0.11784656345844269,0.10088155418634415,54,0.2375469207763672
6,0.25,80,dpp,80,16755,0.11331173777580261,0.09632638096809387,55,0.22052526473999023
6,0.25,80,kcenter,80,16529,0.11415772885084152,0.0969855934381485,60,0.2219541072845459
6,0.25,80,degenerate,80,14271,0.13368068635463715,0.11107295751571655,9,0.2202310562133789
6,0.25,80,random_nogate,80,15216,0.11880750954151154,0.09914814680814743,-1,0.0
6,0.5,160,random,160,30189,0.114045150578022,0.09817725419998169,84,0.29872584342956543
6,0.5,160,curated,160,31901,0.11127238720655441,0.09357238560914993,88,0.4217820167541504
6,0.5,160,dpp,160,32660,0.11017754673957825,0.09367776662111282,85,0.3662528991699219
6,0.5,160,kcenter,160,32320,0.1098104864358902,0.09456481039524078,85,0.3324759006500244
6,0.5,160,degenerate,160,28641,0.11878033727407455,0.0980408638715744,28,0.30005908012390137
6,0.5,160,random_nogate,160,30128,0.11423121392726898,0.09492748975753784,-1,0.0
6,1.0,321,all_gated,321,61392,0.10994559526443481,0.09305207431316376,106,0.0
7,0.25,81,random,81,15054,0.11300814151763916,0.09907574206590652,56,0.20971393585205078
7,0.25,81,curated,81,15630,0.11189083009958267,0.09614433348178864,56,0.26694822311401367
7,0.25,81,dpp,81,15793,0.1070697158575058,0.09576930850744247,57,0.22645115852355957
7,0.25,81,kcenter,81,15868,0.10814026743173599,0.09856796264648438,60,0.2093369960784912
7,0.25,81,degenerate,81,14346,0.14384344220161438,0.11059942841529846,10,0.3050568103790283
7,0.25,81,random_nogate,81,15319,0.11146122962236404,0.09766247123479843,-1,0.0
7,0.5,163,random,163,31366,0.10552942007780075,0.09421443939208984,84,0.41707801818847656
7,0.5,163,curated,163,31018,0.10417444258928299,0.09321003407239914,95,0.3985919952392578
7,0.5,163,dpp,163,31171,0.10293634235858917,0.09225554764270782,88,0.39457082748413086
7,0.5,163,kcenter,163,31423,0.10364709049463272,0.09291616082191467,91,0.4622609615325928
7,0.5,163,degenerate,163,29868,0.11066965013742447,0.09684086591005325,30,0.32265400886535645
7,0.5,163,random_nogate,163,30588,0.10532555729150772,0.09484080225229263,-1,0.0
7,1.0,327,all_gated,327,61960,0.10289675742387772,0.0911828875541687,112,0.0
8,0.25,64,random,64,13207,0.12676455080509186,0.11186597496271133,52,0.2551889419555664
8,0.25,64,curated,64,13361,0.12042857706546783,0.10337389260530472,53,0.3089168071746826
8,0.25,64,dpp,64,14155,0.11814159899950027,0.10137668251991272,48,0.6934030055999756
8,0.25,64,kcenter,64,13578,0.11901383101940155,0.0999026745557785,51,0.36811113357543945
8,0.25,64,degenerate,64,12053,0.1398518830537796,0.1122656762599945,16,0.28494811058044434
8,0.25,64,random_nogate,64,13432,0.127290278673172,0.10548791289329529,-1,0.0
8,0.5,128,random,128,27104,0.11708832532167435,0.09641976654529572,80,0.40137386322021484
