alpha,n_features,history,horizon,seed,condition,mse_unseen_operator,mse_unseen_scene
1.0,256,10,30,4,dpp,0.11069930344820023,0.09830872714519501
1.0,256,10,30,4,kcenter,0.10843869298696518,0.09762786328792572
1.0,256,10,30,4,degenerate,0.13578066229820251,0.11180196702480316
1.0,1024,10,30,0,random,0.10828438401222229,0.11462564766407013
1.0,1024,10,30,0,curated,0.10858718305826187,0.11256873607635498
1.0,1024,10,30,0,dpp,0.1057610735297203,0.10546000301837921
1.0,1024,10,30,0,kcenter,0.10643957555294037,0.10528581589460373
1.0,1024,10,30,0,degenerate,0.12503987550735474,0.12585747241973877
1.0,1024,10,30,1,random,0.12517674267292023,0.10168305784463882
1.0,1024,10,30,1,curated,0.12133453041315079,0.0981932133436203
1.0,1024,10,30,1,dpp,0.11983662843704224,0.09558358788490295
1.0,1024,10,30,1,kcenter,0.12141051143407822,0.09632273018360138
1.0,1024,10,30,1,degenerate,0.15149074792861938,0.1125042587518692
1.0,1024,10,30,2,random,0.12106785178184509,0.11399342119693756
1.0,1024,10,30,2,curated,0.11529756337404251,0.110150545835495
1.0,1024,10,30,2,dpp,0.11525080353021622,0.10882903635501862
1.0,1024,10,30,2,kcenter,0.11530514806509018,0.10848633199930191
1.0,1024,10,30,2,degenerate,0.12596248090267181,0.12188248336315155
1.0,1024,10,30,3,random,0.12625794112682343,0.10893314331769943
1.0,1024,10,30,3,curated,0.12602411210536957,0.104281947016716
1.0,1024,10,30,3,dpp,0.11785642057657242,0.1007063165307045
1.0,1024,10,30,3,kcenter,0.11697589606046677,0.10307000577449799
1.0,1024,10,30,3,degenerate,0.13979114592075348,0.11938059329986572
1.0,1024,10,30,4,random,0.13386082649230957,0.10450625419616699
1.0,1024,10,30,4,curated,0.12512260675430298,0.1002158597111702
1.0,1024,10,30,4,dpp,0.12236499786376953,0.09949906915426254
1.0,1024,10,30,4,kcenter,0.12055502086877823,0.09888971596956253
1.0,1024,10,30,4,degenerate,0.1782611608505249,0.13433274626731873
1.0,512,5,30,0,random,0.10474339872598648,0.10674719512462616
1.0,512,5,30,0,curated,0.10466203093528748,0.10791925340890884
1.0,512,5,30,0,dpp,0.10195650905370712,0.10362266004085541
1.0,512,5,30,0,kcenter,0.10255475342273712,0.10302165895700455
1.0,512,5,30,0,degenerate,0.1162908673286438,0.12061338126659393
1.0,512,5,30,1,random,0.1168152466416359,0.0942043662071228
1.0,512,5,30,1,curated,0.11561086773872375,0.09590955078601837
1.0,512,5,30,1,dpp,0.11219294369220734,0.09117311984300613
1.0,512,5,30,1,kcenter,0.11687996983528137,0.09237993508577347
1.0,512,5,30,1,degenerate,0.13494236767292023,0.10479287058115005
1.0,512,5,30,2,random,0.11514172703027725,0.10342567414045334
1.0,512,5,30,2,curated,0.10555960237979889,0.10259918868541718
1.0,512,5,30,2,dpp,0.1086384654045105,0.10397226363420486
1.0,512,5,30,2,kcenter,0.10840547829866409,0.10233748704195023
1.0,512,5,30,2,degenerate,0.12057305872440338,0.11325599998235703
1.0,512,5,30,3,random,0.11548348516225815,0.10057147592306137
1.0,512,5,30,3,curated,0.11355812847614288,0.09701250493526459
1.0,512,5,30,3,dpp,0.11368378251791,0.09295077621936798
1.0,512,5,30,3,kcenter,0.11455473303794861,0.09386088699102402
1.0,512,5,30,3,degenerate,0.12378006428480148,0.10622772574424744
1.0,512,5,30,4,random,0.12243456393480301,0.09876619279384613
1.0,512,5,30,4,curated,0.11788289248943329,0.09508342295885086
1.0,512,5,30,4,dpp,0.11304124444723129,0.09469461441040039
1.0,512,5,30,4,kcenter,0.11082667857408524,0.0950196236371994
1.0,512,5,30,4,degenerate,0.17307917773723602,0.12269917875528336
1.0,512,20,30,0,random,0.10746900737285614,0.11108464002609253
1.0,512,20,30,0,curated,0.10655934363603592,0.1120872050523758
1.0,512,20,30,0,dpp,0.10615172237157822,0.10826949030160904
1.0,512,20,30,0,kcenter,0.10565648972988129,0.1065472960472107
1.0,512,20,30,0,degenerate,0.11902788281440735,0.11973027139902115
1.0,512,20,30,1,random,0.12014106661081314,0.09686067700386047
1.0,512,20,30,1,curated,0.12034375965595245,0.09499631077051163
1.0,512,20,30,1,dpp,0.11682352423667908,0.0939340740442276
1.0,512,20,30,1,kcenter,0.1182871013879776,0.09522190690040588
1.0,512,20,30,1,degenerate,0.12953901290893555,0.10233132541179657
1.0,512,20,30,2,random,0.11431531608104706,0.10595487803220749
1.0,512,20,30,2,curated,0.11061999946832657,0.103252112865448
1.0,512,20,30,2,dpp,0.10882232338190079,0.10433182120323181
1.0,512,20,30,2,kcenter,0.10771265625953674,0.10421030968427658
1.0,512,20,30,2,degenerate,0.11767357587814331,0.11112646013498306
