episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692ea467b0d3d3c9d26069c9,ok,200,200,200.0,0,30,7
692f061f245e9187290071d4,ok,220,220,220.0,0,30,7
692ea62c95aad87d3e34460b,ok,159,159,159.0,0,30,7
692ea4d574b24813e759753b,ok,187,187,187.0,0,30,7
692fe79e34a99e18e25289a7,ok,216,216,216.0,0,30,7
692e7fa84e86f0c01a206e9f,ok,136,136,136.0,0,30,7
692edeb00ba268eb1656495c,ok,356,356,356.0,0,30,7
692fe3fcd35e50f3aed1e3bb,ok,191,191,191.0,0,30,7
692ec52f526b2c3ac5f5b587,ok,131,131,131.0,0,30,7
692ef314b07e0e30ff1132a2,ok,210,210,210.0,0,30,7
692e9646c609aae267b27757,ok,215,215,215.0,0,30,7
692efe43f59fd218b1be01b2,ok,109,109,109.0,0,30,7
692ea84674b24813e75975c4,ok,185,185,185.0,0,30,7
692eb653ba0400c7068a005d,ok,164,164,164.0,0,30,7
692ea1c368228e362d908fd6,ok,210,210,210.0,0,30,7
692f08c60ba268eb16564c80,ok,244,244,244.0,0,30,7
692eb651ba0400c7068a004a,ok,141,141,141.0,0,30,7
692fe89eb108dc6b6c8bda2f,ok,171,171,171.0,0,30,7
692eefe10ba268eb16564aa0,ok,209,209,209.0,0,30,7
692e99191e78e176ba6cf76b,ok,166,166,166.0,0,30,7
692eaadd99488ff84776f9c4,ok,239,239,239.0,0,30,7
692efcdc4cbe80983737ffea,ok,146,146,146.0,0,30,7
692fe79f34a99e18e25289b0,ok,227,227,227.0,0,30,7
692fe3fbd35e50f3aed1e3b1,ok,166,166,166.0,0,30,7
692eb492f169106feb26b013,ok,222,222,222.0,0,30,7
692eb652ba0400c7068a0053,ok,173,173,173.0,0,30,7
692eb752f169106feb26b056,ok,238,238,238.0,0,30,7
692ea44dc621d7f4aac3aae6,ok,191,191,191.0,0,30,7
692e83ae567c97525f4011ab,ok,228,228,228.0,0,30,7
692e8d6faf371a654ce7fb2c,ok,236,236,236.0,0,30,7
692e92517641010d04354502,ok,228,228,228.0,0,30,7
692eaa08e2322e3b092b5f31,ok,221,221,221.0,0,30,7
692eaa12ad0c9ef057d41d9d,ok,229,229,229.0,0,30,7
692efe44f59fd218b1be01bb,ok,97,97,97.0,0,30,7
692efcdd4cbe80983737fff6,ok,159,159,159.0,0,30,7
692eb3fb96d2056439f0199e,ok,237,237,237.0,0,30,7
692eb750f169106feb26b04a,ok,227,227,227.0,0,30,7
692fe79f34a99e18e25289b1,ok,218,218,218.0,0,30,7
692ea6039cebf0ec017ddcba,ok,169,169,169.0,0,30,7
692eaf78b8797912ff78a8eb,ok,173,173,173.0,0,30,7
692efe42f59fd218b1be01ac,ok,119,119,119.0,0,30,7
692ea0ee3019385fbbf5674c,ok,215,215,215.0,0,30,7
692eaf78b8797912ff78a8ea,ok,187,187,187.0,0,30,7
692fe79b34a99e18e252898a,ok,202,202,202.0,0,30,7
692eab8895aad87d3e344693,ok,198,198,198.0,0,30,7
692fe7cab03ac7c2657d54c4,ok,163,163,163.0,0,30,7
692e9eae5aae241ad236eca6,ok,176,176,176.0,0,30,7
692eb08897ffd8ec90340284,ok,212,212,212.0,0,30,7
692efe44f59fd218b1be01ba,ok,103,103,103.0,0,30,7
692ea31aba0400c70689fe8b,ok,149,149,149.0,0,30,7
692e9eaf5aae241ad236ecae,ok,233,233,233.0,0,30,7
692eb653ba0400c7068a0056,ok,182,182,182.0,0,30,7
692eaa3840338017b7f9999a,ok,217,217,217.0,0,30,7
692ea1c268228e362d908fd1,ok,203,203,203.0,0,30,7
692efcde4cbe809837380007,ok,143,143,143.0,0,30,7
692eb32cb05428c72fb37669,ok,199,199,199.0,0,30,7
692ec52a526b2c3ac5f5b562,ok,162,162,162.0,0,30,7
692efe42f59fd218b1be01aa,ok,115,115,115.0,0,30,7
692e711f5aae241ad236e7fe,ok,137,137,137.0,0,30,7
692ec52a526b2c3ac5f5b55b,ok,135,135,135.0,0,30,7
692e7fa74e86f0c01a206e97,ok,239,239,239.0,0,30,7
692e90c93b319da763b7185f,ok,224,224,224.0,0,30,7
692e71f996d2056439f01277,ok,226,226,226.0,0,30,7
692ea4d674b24813e7597544,ok,201,201,201.0,0,30,7
692e90ef7641010d043544ea,ok,117,117,117.0,0,30,7
